YS MEMOIRE UNUSED FONT CODE ANALYSIS
==============================================================================================================

FONT CHARACTERS: 7935
GAME FILES SCANNED: 837
USED UNICODE CODES: 9402
UNUSED FONT CODES: 451

UNUSED BY CATEGORY
--------------------------------------------------------------------------------------------------------------
OTHER                    363
LATIN1                   88

==============================================================================================================
UNUSED CODES
==============================================================================================================
index= 1055 code=U+0192 char='ƒ'          addr=0x5A5D0 CP932=UNENCODABLE
index= 1062 code=U+0408 char='Ј'          addr=0x6C015 CP932=UNENCODABLE
index= 1071 code=U+0452 char='ђ'          addr=0x8CA0F CP932=UNENCODABLE
index= 1072 code=U+045A char='њ'          addr=0x8E870 CP932=UNENCODABLE
index= 1073 code=U+2013 char='–'          addr=0x909E5 CP932=UNENCODABLE
index= 1074 code=U+201E char='„'          addr=0x90F02 CP932=UNENCODABLE
index= 1076 code=U+2122 char='™'          addr=0x95F13 CP932=UNENCODABLE
index= 1983 code=U+FFFFFFFF char=''           addr=0x0 CP932=
index= 1984 code=U+FFFFFFFF char=''           addr=0x0 CP932=
index= 1985 code=U+FFFFFFFF char=''           addr=0x0 CP932=
index= 1986 code=U+FFFFFFFF char=''           addr=0x0 CP932=
index= 1987 code=U+FFFFFFFF char=''           addr=0x0 CP932=
index= 1988 code=U+FFFFFFFF char=''           addr=0x0 CP932=
index= 1989 code=U+FFFFFFFF char=''           addr=0x0 CP932=
index= 1990 code=U+FFFFFFFF char=''           addr=0x0 CP932=
index= 1991 code=U+FFFFFFFF char=''           addr=0x0 CP932=
index= 1992 code=U+FFFFFFFF char=''           addr=0x0 CP932=
index= 1993 code=U+FFFFFFFF char=''           addr=0x0 CP932=
index= 1994 code=U+FFFFFFFF char=''           addr=0x0 CP932=
index= 1995 code=U+FFFFFFFF char=''           addr=0x0 CP932=
index= 1996 code=U+FFFFFFFF char=''           addr=0x0 CP932=
index= 1997 code=U+FFFFFFFF char=''           addr=0x0 CP932=
index= 1998 code=U+FFFFFFFF char=''           addr=0x0 CP932=
index= 1999 code=U+FFFFFFFF char=''           addr=0x0 CP932=
index= 2000 code=U+FFFFFFFF char=''           addr=0x0 CP932=
index= 2001 code=U+FFFFFFFF char=''           addr=0x0 CP932=
index= 2002 code=U+FFFFFFFF char=''           addr=0x0 CP932=
index= 2003 code=U+FFFFFFFF char=''           addr=0x0 CP932=
index= 2004 code=U+FFFFFFFF char=''           addr=0x0 CP932=
index= 2005 code=U+FFFFFFFF char=''           addr=0x0 CP932=
index= 2006 code=U+FFFFFFFF char=''           addr=0x0 CP932=
index= 2007 code=U+FFFFFFFF char=''           addr=0x0 CP932=
index= 2008 code=U+FFFFFFFF char=''           addr=0x0 CP932=
index= 2009 code=U+FFFFFFFF char=''           addr=0x0 CP932=
index= 2010 code=U+FFFFFFFF char=''           addr=0x0 CP932=
